question,option_a,option_b,option_c,option_d,answer,category,difficulty
What is 87 + 23?,110,113,108,117,110,Quantitative,Easy
What is the square of 3?,8,9,14,10,9,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",F,G,I,H,G,Logical,Hard
Choose the synonym of 'rapid'.,small,weak,fast,late,fast,Verbal,Medium
"If 6 workers finish a task in 8 days, how many worker-days are needed?",48,46,50,53,48,Puzzle,Medium
What is 13 + 75?,95,91,88,86,88,Quantitative,Hard
What is the square of 15?,224,226,230,225,225,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",K,L,J,M,K,Logical,Hard
Choose the synonym of 'benefit'.,advantage,weak,small,late,advantage,Verbal,Medium
"If 10 workers finish a task in 5 days, how many worker-days are needed?",48,55,52,50,50,Puzzle,Easy
What is 53 + 42?,102,95,93,98,95,Quantitative,Medium
What is the square of 13?,170,169,174,168,169,Quantitative,Hard
"Find the next letter in the series: I, J, K, ?",N,M,L,K,L,Logical,Hard
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Easy
"If 10 workers finish a task in 3 days, how many worker-days are needed?",28,35,30,32,30,Puzzle,Easy
What is 61 + 97?,158,156,161,165,158,Quantitative,Medium
What is the square of 8?,69,64,65,63,64,Quantitative,Easy
"Find the next letter in the series: G, H, I, ?",J,L,I,K,J,Logical,Medium
Choose the synonym of 'benefit'.,advantage,late,small,weak,advantage,Verbal,Hard
"If 5 workers finish a task in 5 days, how many worker-days are needed?",30,23,25,27,25,Puzzle,Hard
What is 25 + 96?,119,128,124,121,121,Quantitative,Easy
What is the square of 4?,16,15,21,17,16,Quantitative,Hard
"Find the next letter in the series: B, C, D, ?",D,G,F,E,E,Logical,Hard
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Medium
"If 9 workers finish a task in 7 days, how many worker-days are needed?",63,65,61,68,63,Puzzle,Hard
What is 68 + 24?,99,90,92,95,92,Quantitative,Hard
What is the square of 7?,50,54,48,49,49,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",W,V,U,T,U,Logical,Easy
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Easy
"If 9 workers finish a task in 9 days, how many worker-days are needed?",81,86,79,83,81,Puzzle,Medium
What is 10 + 29?,46,37,39,42,39,Quantitative,Easy
What is the square of 7?,48,49,54,50,49,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",X,V,W,U,V,Logical,Easy
Choose the synonym of 'bright'.,weak,late,small,smart,smart,Verbal,Hard
"If 4 workers finish a task in 7 days, how many worker-days are needed?",33,28,26,30,28,Puzzle,Easy
What is 28 + 80?,111,106,108,115,108,Quantitative,Hard
What is the square of 18?,324,329,325,323,324,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",Q,O,R,P,P,Logical,Hard
Choose the synonym of 'bright'.,weak,small,late,smart,smart,Verbal,Easy
"If 9 workers finish a task in 5 days, how many worker-days are needed?",50,43,47,45,45,Puzzle,Medium
What is 87 + 77?,164,162,167,171,164,Quantitative,Medium
What is the square of 4?,16,15,17,21,16,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",F,E,H,G,F,Logical,Medium
Choose the synonym of 'rapid'.,weak,late,fast,small,fast,Verbal,Hard
"If 10 workers finish a task in 3 days, how many worker-days are needed?",28,35,30,32,30,Puzzle,Hard
What is 88 + 92?,178,187,183,180,180,Quantitative,Hard
What is the square of 18?,324,323,329,325,324,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",K,J,I,L,J,Logical,Medium
Choose the synonym of 'bright'.,late,small,smart,weak,smart,Verbal,Medium
"If 5 workers finish a task in 4 days, how many worker-days are needed?",25,18,22,20,20,Puzzle,Hard
What is 95 + 76?,178,174,171,169,171,Quantitative,Hard
What is the square of 17?,288,294,289,290,289,Quantitative,Easy
"Find the next letter in the series: Q, R, S, ?",U,T,S,V,T,Logical,Hard
Choose the synonym of 'bright'.,late,weak,small,smart,smart,Verbal,Medium
"If 4 workers finish a task in 10 days, how many worker-days are needed?",38,45,42,40,40,Puzzle,Medium
What is 55 + 97?,155,159,152,150,152,Quantitative,Easy
What is the square of 3?,8,10,9,14,9,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",V,W,U,X,V,Logical,Hard
Choose the synonym of 'honest'.,truthful,weak,late,small,truthful,Verbal,Easy
"If 7 workers finish a task in 8 days, how many worker-days are needed?",58,61,56,54,56,Puzzle,Hard
What is 16 + 98?,121,114,117,112,114,Quantitative,Easy
What is the square of 5?,30,25,26,24,25,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",V,U,T,S,T,Logical,Hard
Choose the synonym of 'rapid'.,small,fast,late,weak,fast,Verbal,Hard
"If 5 workers finish a task in 6 days, how many worker-days are needed?",35,30,32,28,30,Puzzle,Medium
What is 28 + 62?,90,93,88,97,90,Quantitative,Easy
What is the square of 18?,329,324,323,325,324,Quantitative,Easy
"Find the next letter in the series: B, C, D, ?",D,G,F,E,E,Logical,Hard
Choose the synonym of 'benefit'.,weak,small,late,advantage,advantage,Verbal,Hard
"If 8 workers finish a task in 3 days, how many worker-days are needed?",26,29,24,22,24,Puzzle,Hard
What is 61 + 68?,127,129,132,136,129,Quantitative,Easy
What is the square of 9?,80,86,81,82,81,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",H,F,I,G,G,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,small,weak,truthful,Verbal,Medium
"If 8 workers finish a task in 5 days, how many worker-days are needed?",40,42,45,38,40,Puzzle,Hard
What is 92 + 11?,103,101,110,106,103,Quantitative,Hard
What is the square of 17?,294,289,288,290,289,Quantitative,Easy
"Find the next letter in the series: M, N, O, ?",Q,R,P,O,P,Logical,Medium
Choose the synonym of 'honest'.,late,small,weak,truthful,truthful,Verbal,Hard
"If 3 workers finish a task in 2 days, how many worker-days are needed?",6,4,11,8,6,Puzzle,Easy
What is 37 + 88?,128,132,125,123,125,Quantitative,Medium
What is the square of 14?,195,197,201,196,196,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",J,H,K,I,I,Logical,Hard
Choose the synonym of 'honest'.,small,weak,late,truthful,truthful,Verbal,Easy
"If 4 workers finish a task in 2 days, how many worker-days are needed?",10,8,13,6,8,Puzzle,Medium
What is 21 + 63?,91,82,87,84,84,Quantitative,Medium
What is the square of 4?,16,15,21,17,16,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",O,R,Q,P,P,Logical,Hard
Choose the synonym of 'honest'.,truthful,late,small,weak,truthful,Verbal,Medium
"If 3 workers finish a task in 8 days, how many worker-days are needed?",24,29,22,26,24,Puzzle,Medium
What is 50 + 97?,150,154,147,145,147,Quantitative,Easy
What is the square of 7?,49,50,54,48,49,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",Z,Y,W,X,X,Logical,Medium
Choose the synonym of 'bright'.,smart,weak,late,small,smart,Verbal,Easy
"If 7 workers finish a task in 6 days, how many worker-days are needed?",40,44,42,47,42,Puzzle,Easy
What is 91 + 35?,129,126,124,133,126,Quantitative,Easy
What is the square of 17?,288,294,289,290,289,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",L,M,K,N,L,Logical,Easy
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Hard
"If 7 workers finish a task in 6 days, how many worker-days are needed?",47,44,42,40,42,Puzzle,Easy
What is 19 + 34?,51,53,60,56,53,Quantitative,Easy
What is the square of 5?,24,25,30,26,25,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",H,G,E,F,F,Logical,Medium
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Easy
"If 4 workers finish a task in 10 days, how many worker-days are needed?",40,38,45,42,40,Puzzle,Easy
What is 76 + 74?,150,153,148,157,150,Quantitative,Hard
What is the square of 6?,41,35,36,37,36,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",T,Q,S,R,R,Logical,Medium
Choose the synonym of 'bright'.,smart,weak,small,late,smart,Verbal,Hard
"If 6 workers finish a task in 4 days, how many worker-days are needed?",24,26,29,22,24,Puzzle,Medium
What is 81 + 18?,99,97,106,102,99,Quantitative,Easy
What is the square of 12?,144,149,143,145,144,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",Y,W,X,V,W,Logical,Medium
Choose the synonym of 'bright'.,smart,weak,small,late,smart,Verbal,Easy
"If 10 workers finish a task in 3 days, how many worker-days are needed?",32,30,28,35,30,Puzzle,Hard
What is 47 + 73?,123,127,118,120,120,Quantitative,Medium
What is the square of 3?,8,9,14,10,9,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",I,H,F,G,G,Logical,Medium
Choose the synonym of 'rapid'.,fast,weak,late,small,fast,Verbal,Hard
"If 8 workers finish a task in 5 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Hard
What is 60 + 33?,91,93,96,100,93,Quantitative,Easy
What is the square of 8?,65,69,64,63,64,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",I,K,J,H,I,Logical,Hard
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Medium
"If 8 workers finish a task in 7 days, how many worker-days are needed?",56,58,54,61,56,Puzzle,Hard
What is 31 + 41?,70,72,75,79,72,Quantitative,Easy
What is the square of 6?,37,41,35,36,36,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",R,S,P,Q,Q,Logical,Hard
Choose the synonym of 'benefit'.,small,advantage,late,weak,advantage,Verbal,Hard
"If 9 workers finish a task in 2 days, how many worker-days are needed?",18,20,23,16,18,Puzzle,Hard
What is 57 + 55?,110,119,112,115,112,Quantitative,Hard
What is the square of 10?,100,105,99,101,100,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",F,E,C,D,D,Logical,Medium
Choose the synonym of 'benefit'.,small,advantage,late,weak,advantage,Verbal,Hard
"If 6 workers finish a task in 8 days, how many worker-days are needed?",50,53,48,46,48,Puzzle,Medium
What is 54 + 82?,139,134,143,136,136,Quantitative,Easy
What is the square of 14?,201,197,196,195,196,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",F,E,G,D,E,Logical,Medium
Choose the synonym of 'benefit'.,weak,small,advantage,late,advantage,Verbal,Medium
"If 6 workers finish a task in 6 days, how many worker-days are needed?",41,38,34,36,36,Puzzle,Medium
What is 89 + 80?,176,169,172,167,169,Quantitative,Medium
What is the square of 11?,126,120,122,121,121,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",L,J,M,K,K,Logical,Easy
Choose the synonym of 'honest'.,weak,small,late,truthful,truthful,Verbal,Hard
"If 4 workers finish a task in 4 days, how many worker-days are needed?",16,14,21,18,16,Puzzle,Hard
What is 21 + 96?,120,124,117,115,117,Quantitative,Medium
What is the square of 14?,201,197,195,196,196,Quantitative,Easy
"Find the next letter in the series: K, L, M, ?",N,M,O,P,N,Logical,Hard
Choose the synonym of 'benefit'.,weak,advantage,late,small,advantage,Verbal,Medium
"If 9 workers finish a task in 7 days, how many worker-days are needed?",68,61,65,63,63,Puzzle,Easy
What is 72 + 31?,106,110,103,101,103,Quantitative,Easy
What is the square of 14?,201,196,195,197,196,Quantitative,Hard
"Find the next letter in the series: I, J, K, ?",N,L,M,K,L,Logical,Medium
Choose the synonym of 'rapid'.,fast,late,small,weak,fast,Verbal,Hard
"If 6 workers finish a task in 3 days, how many worker-days are needed?",16,18,23,20,18,Puzzle,Hard
What is 85 + 97?,189,180,182,185,182,Quantitative,Medium
What is the square of 19?,362,366,361,360,361,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",X,V,W,Y,W,Logical,Medium
Choose the synonym of 'ancient'.,weak,small,late,old,old,Verbal,Easy
"If 7 workers finish a task in 7 days, how many worker-days are needed?",54,49,47,51,49,Puzzle,Hard
What is 44 + 64?,115,108,106,111,108,Quantitative,Hard
What is the square of 13?,169,174,168,170,169,Quantitative,Easy
"Find the next letter in the series: B, C, D, ?",D,G,E,F,E,Logical,Medium
Choose the synonym of 'ancient'.,late,weak,small,old,old,Verbal,Easy
"If 3 workers finish a task in 2 days, how many worker-days are needed?",4,6,11,8,6,Puzzle,Hard
What is 12 + 84?,96,103,99,94,96,Quantitative,Hard
What is the square of 14?,201,197,195,196,196,Quantitative,Hard
"Find the next letter in the series: I, J, K, ?",K,M,N,L,L,Logical,Hard
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Easy
"If 2 workers finish a task in 7 days, how many worker-days are needed?",12,14,16,19,14,Puzzle,Hard
What is 77 + 72?,147,152,149,156,149,Quantitative,Easy
What is the square of 18?,325,324,323,329,324,Quantitative,Easy
"Find the next letter in the series: H, I, J, ?",L,M,J,K,K,Logical,Medium
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Medium
"If 9 workers finish a task in 10 days, how many worker-days are needed?",88,95,92,90,90,Puzzle,Hard
What is 77 + 57?,137,134,141,132,134,Quantitative,Medium
What is the square of 17?,294,288,290,289,289,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",R,S,Q,T,R,Logical,Medium
Choose the synonym of 'benefit'.,advantage,small,weak,late,advantage,Verbal,Hard
"If 4 workers finish a task in 3 days, how many worker-days are needed?",17,10,14,12,12,Puzzle,Hard
What is 22 + 49?,71,78,69,74,71,Quantitative,Easy
What is the square of 15?,224,230,226,225,225,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",U,W,V,X,V,Logical,Easy
Choose the synonym of 'benefit'.,advantage,late,weak,small,advantage,Verbal,Easy
"If 5 workers finish a task in 5 days, how many worker-days are needed?",23,27,30,25,25,Puzzle,Hard
What is 28 + 55?,86,81,90,83,83,Quantitative,Hard
What is the square of 14?,196,201,197,195,196,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",F,D,E,C,D,Logical,Easy
Choose the synonym of 'benefit'.,weak,late,advantage,small,advantage,Verbal,Hard
"If 6 workers finish a task in 3 days, how many worker-days are needed?",20,18,16,23,18,Puzzle,Easy
What is 52 + 54?,113,106,109,104,106,Quantitative,Medium
What is the square of 16?,255,257,261,256,256,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",R,Q,P,O,P,Logical,Easy
Choose the synonym of 'benefit'.,small,advantage,late,weak,advantage,Verbal,Medium
"If 4 workers finish a task in 8 days, how many worker-days are needed?",34,37,30,32,32,Puzzle,Easy
What is 33 + 55?,95,91,86,88,88,Quantitative,Easy
What is the square of 13?,174,170,168,169,169,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",Y,V,X,W,W,Logical,Medium
Choose the synonym of 'ancient'.,late,weak,old,small,old,Verbal,Easy
"If 8 workers finish a task in 6 days, how many worker-days are needed?",48,50,46,53,48,Puzzle,Medium
What is 67 + 77?,144,142,151,147,144,Quantitative,Medium
What is the square of 6?,36,35,37,41,36,Quantitative,Easy
"Find the next letter in the series: K, L, M, ?",O,M,P,N,N,Logical,Hard
Choose the synonym of 'benefit'.,small,late,advantage,weak,advantage,Verbal,Easy
"If 5 workers finish a task in 6 days, how many worker-days are needed?",32,28,35,30,30,Puzzle,Hard
What is 39 + 88?,130,127,134,125,127,Quantitative,Easy
What is the square of 18?,323,329,324,325,324,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",V,W,Y,X,W,Logical,Medium
Choose the synonym of 'honest'.,weak,small,late,truthful,truthful,Verbal,Hard
"If 5 workers finish a task in 7 days, how many worker-days are needed?",40,35,33,37,35,Puzzle,Easy
What is 92 + 11?,103,101,106,110,103,Quantitative,Medium
What is the square of 14?,197,196,195,201,196,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",O,Q,P,R,P,Logical,Easy
Choose the synonym of 'bright'.,weak,smart,small,late,smart,Verbal,Medium
"If 6 workers finish a task in 8 days, how many worker-days are needed?",53,50,48,46,48,Puzzle,Hard
What is 89 + 43?,135,139,132,130,132,Quantitative,Easy
What is the square of 11?,122,120,126,121,121,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",X,V,U,W,V,Logical,Hard
Choose the synonym of 'rapid'.,fast,late,weak,small,fast,Verbal,Medium
"If 6 workers finish a task in 7 days, how many worker-days are needed?",42,44,47,40,42,Puzzle,Easy
What is 50 + 66?,116,123,114,119,116,Quantitative,Easy
What is the square of 17?,288,294,290,289,289,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",L,M,K,N,L,Logical,Easy
Choose the synonym of 'honest'.,truthful,weak,late,small,truthful,Verbal,Hard
"If 7 workers finish a task in 9 days, how many worker-days are needed?",63,68,61,65,63,Puzzle,Easy
What is 74 + 47?,121,124,128,119,121,Quantitative,Medium
What is the square of 13?,170,168,174,169,169,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",M,J,K,L,K,Logical,Easy
Choose the synonym of 'honest'.,small,late,truthful,weak,truthful,Verbal,Hard
"If 5 workers finish a task in 9 days, how many worker-days are needed?",45,43,47,50,45,Puzzle,Hard
What is 11 + 13?,27,22,31,24,24,Quantitative,Easy
What is the square of 19?,366,360,362,361,361,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",G,H,I,J,H,Logical,Medium
Choose the synonym of 'bright'.,smart,weak,late,small,smart,Verbal,Hard
"If 8 workers finish a task in 7 days, how many worker-days are needed?",58,56,54,61,56,Puzzle,Easy
What is 63 + 28?,98,94,89,91,91,Quantitative,Hard
What is the square of 11?,121,126,122,120,121,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",C,D,E,F,D,Logical,Hard
Choose the synonym of 'rapid'.,small,weak,fast,late,fast,Verbal,Hard
"If 4 workers finish a task in 10 days, how many worker-days are needed?",40,42,45,38,40,Puzzle,Easy
What is 88 + 77?,168,165,163,172,165,Quantitative,Medium
What is the square of 8?,69,64,63,65,64,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",T,U,V,W,U,Logical,Easy
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Easy
"If 2 workers finish a task in 6 days, how many worker-days are needed?",17,10,12,14,12,Puzzle,Hard
What is 93 + 30?,121,123,130,126,123,Quantitative,Hard
What is the square of 12?,144,149,143,145,144,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",F,E,C,D,D,Logical,Easy
Choose the synonym of 'bright'.,small,smart,late,weak,smart,Verbal,Medium
"If 8 workers finish a task in 2 days, how many worker-days are needed?",16,18,21,14,16,Puzzle,Medium
What is 80 + 66?,149,153,144,146,146,Quantitative,Hard
What is the square of 15?,224,225,230,226,225,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",Z,X,Y,W,X,Logical,Hard
Choose the synonym of 'ancient'.,old,weak,late,small,old,Verbal,Hard
"If 8 workers finish a task in 2 days, how many worker-days are needed?",16,21,18,14,16,Puzzle,Medium
What is 64 + 12?,74,79,83,76,76,Quantitative,Hard
What is the square of 16?,257,255,256,261,256,Quantitative,Hard
"Find the next letter in the series: Q, R, S, ?",V,S,T,U,T,Logical,Medium
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Easy
"If 5 workers finish a task in 3 days, how many worker-days are needed?",17,20,13,15,15,Puzzle,Hard
What is 14 + 20?,34,32,37,41,34,Quantitative,Medium
What is the square of 19?,361,362,360,366,361,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",W,T,V,U,U,Logical,Easy
Choose the synonym of 'bright'.,weak,late,smart,small,smart,Verbal,Easy
"If 10 workers finish a task in 2 days, how many worker-days are needed?",20,18,25,22,20,Puzzle,Medium
What is 31 + 13?,42,51,47,44,44,Quantitative,Hard
What is the square of 15?,224,226,225,230,225,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",L,I,K,J,J,Logical,Medium
Choose the synonym of 'ancient'.,old,late,small,weak,old,Verbal,Medium
"If 9 workers finish a task in 10 days, how many worker-days are needed?",95,92,90,88,90,Puzzle,Hard
What is 87 + 83?,177,173,170,168,170,Quantitative,Hard
What is the square of 13?,168,170,174,169,169,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",L,J,M,K,K,Logical,Easy
Choose the synonym of 'benefit'.,advantage,late,weak,small,advantage,Verbal,Medium
"If 7 workers finish a task in 10 days, how many worker-days are needed?",70,75,68,72,70,Puzzle,Hard
What is 48 + 62?,113,108,110,117,110,Quantitative,Hard
What is the square of 7?,54,49,50,48,49,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",P,Q,O,N,O,Logical,Hard
Choose the synonym of 'benefit'.,advantage,small,late,weak,advantage,Verbal,Hard
"If 8 workers finish a task in 9 days, how many worker-days are needed?",74,72,77,70,72,Puzzle,Medium
What is 40 + 14?,54,61,52,57,54,Quantitative,Medium
What is the square of 19?,362,360,366,361,361,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",K,I,J,H,I,Logical,Medium
Choose the synonym of 'bright'.,late,weak,small,smart,smart,Verbal,Easy
"If 4 workers finish a task in 8 days, how many worker-days are needed?",32,34,30,37,32,Puzzle,Hard
What is 85 + 12?,97,104,95,100,97,Quantitative,Hard
What is the square of 16?,256,257,261,255,256,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",I,H,G,F,G,Logical,Easy
Choose the synonym of 'rapid'.,late,weak,small,fast,fast,Verbal,Easy
"If 4 workers finish a task in 7 days, how many worker-days are needed?",26,28,33,30,28,Puzzle,Medium
What is 55 + 77?,132,130,139,135,132,Quantitative,Hard
What is the square of 19?,362,360,366,361,361,Quantitative,Easy
"Find the next letter in the series: Q, R, S, ?",T,V,S,U,T,Logical,Easy
Choose the synonym of 'bright'.,small,smart,weak,late,smart,Verbal,Easy
"If 7 workers finish a task in 6 days, how many worker-days are needed?",47,40,42,44,42,Puzzle,Hard
What is 78 + 35?,113,116,111,120,113,Quantitative,Hard
What is the square of 15?,225,230,224,226,225,Quantitative,Medium
"Find the next letter in the series: C, D, E, ?",H,E,G,F,F,Logical,Medium
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Easy
"If 8 workers finish a task in 6 days, how many worker-days are needed?",48,46,53,50,48,Puzzle,Easy
What is 74 + 71?,152,143,145,148,145,Quantitative,Hard
What is the square of 16?,261,255,257,256,256,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",V,U,T,S,T,Logical,Easy
Choose the synonym of 'ancient'.,weak,small,old,late,old,Verbal,Easy
"If 10 workers finish a task in 9 days, how many worker-days are needed?",90,88,92,95,90,Puzzle,Hard
What is 17 + 50?,65,67,70,74,67,Quantitative,Medium
What is the square of 8?,69,63,64,65,64,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",J,G,H,I,H,Logical,Medium
Choose the synonym of 'honest'.,weak,small,truthful,late,truthful,Verbal,Easy
"If 3 workers finish a task in 3 days, how many worker-days are needed?",7,9,14,11,9,Puzzle,Hard
What is 92 + 82?,177,172,181,174,174,Quantitative,Hard
What is the square of 10?,99,101,100,105,100,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",U,W,X,V,V,Logical,Easy
Choose the synonym of 'bright'.,small,smart,weak,late,smart,Verbal,Easy
"If 3 workers finish a task in 3 days, how many worker-days are needed?",14,7,11,9,9,Puzzle,Medium
What is 27 + 70?,95,97,104,100,97,Quantitative,Hard
What is the square of 8?,63,69,65,64,64,Quantitative,Easy
"Find the next letter in the series: U, V, W, ?",Z,X,Y,W,X,Logical,Medium
Choose the synonym of 'rapid'.,late,fast,weak,small,fast,Verbal,Easy
"If 9 workers finish a task in 5 days, how many worker-days are needed?",50,43,47,45,45,Puzzle,Easy
What is 30 + 18?,48,55,51,46,48,Quantitative,Medium
What is the square of 9?,81,80,86,82,81,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",V,W,X,Y,W,Logical,Medium
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Hard
"If 10 workers finish a task in 3 days, how many worker-days are needed?",30,35,32,28,30,Puzzle,Medium
What is 38 + 10?,51,55,46,48,48,Quantitative,Easy
What is the square of 6?,37,41,35,36,36,Quantitative,Easy
"Find the next letter in the series: K, L, M, ?",P,O,M,N,N,Logical,Medium
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Medium
"If 3 workers finish a task in 7 days, how many worker-days are needed?",21,23,19,26,21,Puzzle,Hard
What is 32 + 45?,77,84,75,80,77,Quantitative,Easy
What is the square of 12?,143,144,145,149,144,Quantitative,Medium
"Find the next letter in the series: K, L, M, ?",M,P,O,N,N,Logical,Hard
Choose the synonym of 'rapid'.,late,weak,small,fast,fast,Verbal,Easy
"If 5 workers finish a task in 9 days, how many worker-days are needed?",50,45,43,47,45,Puzzle,Easy
What is 76 + 14?,97,90,93,88,90,Quantitative,Medium
What is the square of 13?,174,169,168,170,169,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",T,U,V,W,U,Logical,Medium
Choose the synonym of 'honest'.,small,truthful,late,weak,truthful,Verbal,Easy
"If 5 workers finish a task in 6 days, how many worker-days are needed?",30,28,35,32,30,Puzzle,Easy
What is 49 + 73?,122,125,120,129,122,Quantitative,Medium
What is the square of 18?,324,325,323,329,324,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",R,S,T,Q,R,Logical,Hard
Choose the synonym of 'honest'.,small,late,weak,truthful,truthful,Verbal,Easy
"If 9 workers finish a task in 6 days, how many worker-days are needed?",56,54,59,52,54,Puzzle,Medium
What is 10 + 83?,93,100,91,96,93,Quantitative,Hard
What is the square of 6?,37,41,35,36,36,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",J,G,I,H,H,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Easy
"If 3 workers finish a task in 8 days, how many worker-days are needed?",26,29,24,22,24,Puzzle,Medium
What is 88 + 73?,164,161,159,168,161,Quantitative,Easy
What is the square of 7?,49,48,54,50,49,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",F,H,G,E,F,Logical,Hard
Choose the synonym of 'benefit'.,advantage,late,small,weak,advantage,Verbal,Easy
"If 10 workers finish a task in 5 days, how many worker-days are needed?",48,55,52,50,50,Puzzle,Medium
What is 62 + 84?,146,149,153,144,146,Quantitative,Medium
What is the square of 11?,120,126,122,121,121,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",R,Q,P,S,Q,Logical,Medium
Choose the synonym of 'benefit'.,weak,advantage,late,small,advantage,Verbal,Easy
"If 8 workers finish a task in 2 days, how many worker-days are needed?",14,16,21,18,16,Puzzle,Medium
What is 40 + 67?,110,114,107,105,107,Quantitative,Easy
What is the square of 15?,225,224,226,230,225,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",U,T,W,V,U,Logical,Medium
Choose the synonym of 'benefit'.,weak,small,late,advantage,advantage,Verbal,Easy
"If 4 workers finish a task in 9 days, how many worker-days are needed?",41,38,34,36,36,Puzzle,Medium
What is 67 + 88?,158,162,155,153,155,Quantitative,Hard
What is the square of 11?,122,121,126,120,121,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",L,K,M,N,L,Logical,Easy
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Medium
"If 5 workers finish a task in 7 days, how many worker-days are needed?",40,33,35,37,35,Puzzle,Hard
What is 54 + 53?,114,107,110,105,107,Quantitative,Medium
What is the square of 14?,196,201,195,197,196,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",T,Q,S,R,R,Logical,Hard
Choose the synonym of 'ancient'.,small,weak,old,late,old,Verbal,Easy
"If 5 workers finish a task in 4 days, how many worker-days are needed?",25,22,20,18,20,Puzzle,Easy
What is 62 + 81?,150,143,146,141,143,Quantitative,Easy
What is the square of 4?,21,17,15,16,16,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",I,G,H,F,G,Logical,Medium
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Medium
"If 4 workers finish a task in 10 days, how many worker-days are needed?",45,38,40,42,40,Puzzle,Medium
